代码	名称	公告时间	类型	公告内容
000807	云铝股份	2024-10-15	业绩预告	预计2024年1-9月业绩预增，归属净利润约38亿元至38.5亿元，同比上升51.70%至53.69%，每股收益约1.1元至1.11元，扣非净利润约36.5亿元至37亿元，同比上升47.51%至49.53%
000852	石化机械	2024-10-15	业绩预告	预计2024年1-9月业绩略减，归属净利润约8400万元至8700万元，同比下降1.00%至4.00%，每股收益约0.0893元至0.0925元，扣非净利润约6200万元至6500万元，同比下降3.00%至8.00%
000899	赣能股份	2024-10-15	业绩预告	预计2024年1-9月业绩预增，归属净利润约6.15亿元至6.55亿元，同比上升50.78%至60.58%，每股收益约0.63元至0.67元，扣非净利润约5.863亿元至6.263亿元，同比上升36.04%至45.32%
000969	安泰科技	2024-10-15	业绩预告	预计2024年1-9月业绩预增，归属净利润约3.3亿元至3.45亿元，同比上升68.93%至76.61%，每股收益约0.318元至0.334元，扣非净利润约2.201亿元至2.351亿元，同比上升30.10%至38.97%
000972	中基健康	2024-10-15	业绩预告	预计2024年1-9月业绩首亏，归属净利润约-5000万元至-3500万元，同比下降181.37%至216.25%，营业收入约2.6亿元至3.3亿元，同比下降3.81%至24.21%，每股收益约-0.0648元至-0.0454元，扣非净利润约-5000万元至-3500万元，同比下降183.01%至218.58%
000977	浪潮信息	2024-10-15	业绩预告	预计2024年1-9月业绩预增，归属净利润约12.5亿元至13.5亿元，同比上升61.34%至74.24%，每股收益约0.8491元至0.917元，扣非净利润约11.16亿元至12.16亿元，同比上升167.22%至191.17%
000978	桂林旅游	2024-10-15	业绩预告	预计2024年1-9月业绩预减，归属净利润约1200万元，同比下降67.05%，每股收益约0.026元，扣非净利润约525万元，同比下降84.53%
000993	闽东电力	2024-10-15	业绩预告	预计2024年1-9月业绩预减，归属净利润约1亿元至1.3亿元，同比下降59.55%至68.88%，每股收益约0.22元至0.28元，扣非净利润约1亿元至1.3亿元，同比下降58.71%至68.24%
002053	云南能投	2024-10-15	业绩预告	预计2024年1-9月业绩预增，归属净利润约5.68亿元至5.71亿元，同比上升71.38%至72.28%，每股收益约0.6169元至0.6202元，扣非净利润约5.49亿元至5.52亿元，同比上升82.18%至83.18%
002093	国脉科技	2024-10-15	业绩预告	预计2024年1-9月业绩预增，归属净利润约1.35亿元至1.65亿元，同比上升52.21%至86.03%，每股收益约0.1356元至0.1658元，扣非净利润约9500万元至1.25亿元，同比上升24.27%至63.52%
002126	银轮股份	2024-10-15	业绩预告	预计2024年1-9月业绩略增，归属净利润约5.95亿元至6.1亿元，同比上升34.13%至37.51%，每股收益约0.73元至0.75元，扣非净利润约5.45亿元至5.6亿元，同比上升31.77%至35.40%
