"代码","名称","备注","涨幅","时间"
"111","****","主营医用气体装备及系统、医用洁净装备及系统","1.26%","20250725"
"111","****","处于医疗净化行业第一阵营，先后承接全国多家三甲以上医院医疗净","19.99%","20250730"
"111","****","处于医疗净化行业第一阵营，先后承接全国多家三甲以上医院医疗净","19.99%","20250730"
"111","****","国内藏药龙头生产企业","10.02%","20250730"
"111","****","专业的航空发动机及医疗骨科领域的高性能零部件制造商","-2.59%","20250730"
"111","****","国内高端外科手术吻合器出口的领先企业","1.13%","20250730"
"111","****","主产特色原料药及医药中间体","0.09%","20250730"
"111","****","主产特色原料药及医药中间体","0.09%","20250730"
"111","****","专业的航空发动机及医疗骨科领域的高性能零部件制造商","-2.59%","20250730"
"111","****","国内高端外科手术吻合器出口的领先企业","1.13%","20250730"
"111","****","公司在亲水性功能高分子领域处于国内领先水平","0.41%","20250730"
"111","****","深耕环保交联聚烯烃泡棉十余年，是国内聚烯烃发泡材料生产企业领","-3.71%","20250730"
"111","****","国内藏药龙头生产企业","10.01%","20250731"
"111","****","主产特色原料药及医药中间体","10.05%","20250731"
"111","****","国内最早从事细胞工程、基因工程的生物制药企业之一","20.02%","20250731"
"111","****","国内藏药龙头生产企业","10.01%","20250731"
"111","****","专业的航空发动机及医疗骨科领域的高性能零部件制造商","-1.71%","20250731"
"111","****","国内最早从事细胞工程、基因工程的生物制药企业之一","20.02%","20250731"
"111","****","以高壁垒原料药中间体为核心，下延外拓打开长期成长空间","0.46%","20250731"
"111","****","专业的航空发动机及医疗骨科领域的高性能零部件制造商","-1.71%","20250731"
"111","****","国内高端外科手术吻合器出口的领先企业","0.03%","20250731"
"111","****","国内最早从事细胞工程、基因工程的生物制药企业之一","20.02%","20250731"
"111","****","处于医疗净化行业第一阵营，先后承接全国多家三甲以上医院医疗净","6.06%","20250731"
"111","****","处于医疗净化行业第一阵营，先后承接全国多家三甲以上医院医疗净","6.06%","20250731"
"111","****","国内藏药龙头生产企业","10.01%","20250731"
"111","****","专业的航空发动机及医疗骨科领域的高性能零部件制造商","-1.71%","20250731"
"111","****","国内高端外科手术吻合器出口的领先企业","0.03%","20250731"
"111","****","国内最早从事细胞工程、基因工程的生物制药企业之一","20.02%","20250731"
"111","****","主产特色原料药及医药中间体","10.05%","20250731"
"111","****","公司拥有两大驰名商标，薄荷素油占国内近一半市场份额","10.03%","20250801"
"111","****","国内藏药龙头生产企业","9.99%","20250801"
"111","****","高温合金迎来拐点，精铸叶片、粉末涡轮盘切入多个航发型号，业绩","9.99%","20250801"
"111","****","公司拥有两大驰名商标，薄荷素油占国内近一半市场份额","10.03%","20250801"
"111","****","国内藏药龙头生产企业","9.99%","20250801"
"111","****","公司拥有两大驰名商标，薄荷素油占国内近一半市场份额","10.03%","20250801"
"111","****","探索高铁数字媒体新领域，深耕辽宁地区清洁供暖业务","0.33%","20250801"
"111","****","专业的航空发动机及医疗骨科领域的高性能零部件制造商","-1.82%","20250801"
"111","****","国内最早从事细胞工程、基因工程的生物制药企业之一","-1.73%","20250801"
"111","****","中国中药名牌产品，主要产品西洋参口服液具有抗疲劳的保健功效","12.76%","20250801"
"111","****","以高壁垒原料药中间体为核心，下延外拓打开长期成长空间","-0.58%","20250801"
"111","****","国内藏药龙头生产企业","9.99%","20250801"
"111","****","主产特色原料药及医药中间体","6.03%","20250801"
"111","****","国内最早从事细胞工程、基因工程的生物制药企业之一","-1.73%","20250801"
"111","****","国内藏药龙头生产企业","9.99%","20250801"
"111","****","专业的航空发动机及医疗骨科领域的高性能零部件制造商","-1.82%","20250801"
"111","****","国内最早从事细胞工程、基因工程的生物制药企业之一","-1.73%","20250801"
"111","****","中国中药名牌产品，主要产品西洋参口服液具有抗疲劳的保健功效","12.76%","20250801"
"111","****","以高壁垒原料药中间体为核心，下延外拓打开长期成长空间","-0.58%","20250801"
"111","****","专业的航空发动机及医疗骨科领域的高性能零部件制造商","-1.82%","20250801"
"111","****","国内高端外科手术吻合器出口的领先企业","0.73%","20250801"
"111","****","国内最早从事细胞工程、基因工程的生物制药企业之一","-1.73%","20250801"
"111","****","处于医疗净化行业第一阵营，先后承接全国多家三甲以上医院医疗净","-5.97%","20250801"
"111","****","处于医疗净化行业第一阵营，先后承接全国多家三甲以上医院医疗净","-5.97%","20250801"
"111","****","国内藏药龙头生产企业","9.99%","20250801"
"111","****","公司拥有两大驰名商标，薄荷素油占国内近一半市场份额","10.03%","20250801"
"111","****","高温合金迎来拐点，精铸叶片、粉末涡轮盘切入多个航发型号，业绩","9.99%","20250801"
"111","****","公司拥有两大驰名商标，薄荷素油占国内近一半市场份额","10.03%","20250801"
"111","****","公司拥有两大驰名商标，薄荷素油占国内近一半市场份额","10.03%","20250801"
"111","****","探索高铁数字媒体新领域，深耕辽宁地区清洁供暖业务","0.33%","20250801"
"111","****","国内最早从事细胞工程、基因工程的生物制药企业之一","-1.73%","20250801"
"111","****","中国中药名牌产品，主要产品西洋参口服液具有抗疲劳的保健功效","12.76%","20250801"
"111","****","以高壁垒原料药中间体为核心，下延外拓打开长期成长空间","-0.58%","20250801"
"111","****","国内最早从事细胞工程、基因工程的生物制药企业之一","-1.73%","20250801"
"111","****","国内最早从事细胞工程、基因工程的生物制药企业之一","-1.73%","20250801"
"111","****","中国中药名牌产品，主要产品西洋参口服液具有抗疲劳的保健功效","12.76%","20250801"
