
2026-04-12 23:14:33
业绩预测：
代码	名称	公告类型	周期	营收/利润	营收/利润比	近三季度财报	最近一年财报	公告内容
603391	 力聚热能	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润2.259亿元，同比下降22.40%，基本每股收益2.48元
603588	 高能环境	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                          2026年一季报归属净利润6.027亿元，同比增长168.40%，基本每股收益0.395元
603689	 皖天然气	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润3.245亿元，同比下降2.45%，基本每股收益0.66元
603713	 密尔克卫	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润6.266亿元，同比增长10.86%，基本每股收益3.951元
603822	 ST嘉澳	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润3135万元，同比增长108.54%，基本每股收益0.408元
603869	 ST智知	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润3694万元，同比增长78.12%，基本每股收益0.08元
603889	 新澳股份	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润4.801亿元，同比增长12.10%，基本每股收益0.66元
603995	 甬金股份	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润5.487亿元，同比下降32.31%，基本每股收益1.51元
605086	 龙高股份	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润1.213亿元，同比下降5.22%，基本每股收益0.68元
605117	 德业股份	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润31.71亿元，同比增长7.11%，基本每股收益3.51元
605298	 必得科技	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润5678万元，同比增长46.13%，基本每股收益0.31元
605338	 巴比食品	"2026-04-10
报表披露"	     None	None	    None	               None	  None	                                                                                                               2025年年报归属净利润2.73亿元，同比下降1.28%，基本每股收益1.14元
