
2025-06-01 09:50:04
涨停股统计信息：
建议仓位	涨停数(今/昨)	封板率(今/昨)	涨幅(今/昨)	跌停数(今/昨)
48	53/120	61.63%/80.54%	-0.3%/2.8%	19/15

2025-06-01 09:50:04
强势板块信息：
板一/板数/高度	板二/板数/高度	板三/板数/高度	板四/板数/高度	板五/板数/高度
央国企改革/13/11天6板	婴童概念/7/2天2板	新型城镇化/6/10天6板	长江三角/6/3天3板	西部大开发/5/4天4板

2025-06-01 09:50:05
龙头股信息：
代码	名称	板块	高度	标签	警告
600468	百利电气	 智能电网	11天6板	11天6板,央国企改革,军工  	7/7/20250530
002566	 益盛药业	  1.63%	  0%	100%	 46%	  0%	 41%	 87%	流感,病毒防治             
600834	 申通地铁	   2.8%	  0%	100%	601%	  0%	 82%	683%	昨日首板,铁路公路,央国企改革     
002393	 力生制药	  2.88%	  0%	100%	 42%	 89%	130%	261%	昨日首板,肝素概念,流感        
002639	 雪人股份	   3.0%	 16%	 84%	 26%	 47%	 30%	103%	6天3板,冷链物流,水利建设      
600650	 锦江在线	  3.19%	  0%	100%	114%	  0%	 29%	143%	昨日首板,铁路公路,沪企改革      
603030	 全筑股份	  3.26%	  0%	100%	 32%	 31%	 84%	147%	昨日首板,新型城镇化,装修装饰     
002278	 神开股份	  3.28%	  0%	100%	 10%	 16%	 60%	 87%	可燃冰人气龙头,可燃冰,无人机     
300773	 拉卡拉：	  3.41%	  0%	100%	 95%	  0%	 33%	128%	昨日首板,蚂蚁概念,数字货币      
001277	 速达股份	  3.62%	  0%	100%	  0%	  8%	161%	170%	昨日首板,注册制次新股,次新股     
600495	 晋西车轴	  3.91%	  9%	 91%	 27%	 40%	 31%	 98%	铁路基建人气龙头,央国企改革,铁路基建 
603256	 宏和科技	   4.0%	  0%	100%	  9%	104%	102%	216%	昨日首板,玻璃玻纤,华为概念      
300872	 天阳科技	  4.73%	  0%	100%	  9%	 30%	128%	167%	昨日首板,数字货币,互联金融      
002987	 京北方：	  4.74%	  0%	100%	  0%	  0%	175%	175%	昨日首板,数字货币,互联金融      
002657	 中科金财	  4.81%	  0%	100%	  0%	 38%	135%	174%	昨日首板,参股期货,数字货币      

2025-06-01 09:50:55
热门板块信息(热榜350、飙升100、大涨超9%)：
类型	涨幅/股票数	板块(股票数)
热榜	0.77%/334	央国企改革(29),创新药(19),无人驾驶(14),数字货币(13),新型城镇化(12)
飙升	-1.75%/88	     机器人(9),东数西算(6),央国企改革(6),智能家居(4),新型工业化(4)
大涨	10.56%/52	        新型城镇化(6),流感(4),病毒防治(4),婴童(4),央国企改革(4)

2025-06-01 09:50:56
资金流入板块信息：
板块(量比/涨幅)
环保行业(1.7/-1.2),房地产服务(1.6/0.1),游戏(1.5/-0.7),农牧饲渔(1.5/0.5),物流行业(1.5/-0.8)

(今日与昨日量比)上证：0% 深证：0% 创业板：0% 沪深300：0% 中证1000：0% 银行板块：0%：

2025-06-01 09:51:09
涨幅后出货少：
代码	名称	涨停时间	涨停次数	涨<1量	涨>3量	涨>2量	涨>1量	成交额	九转	标签
000510	新金路：	20250523	2	69.0%	24.0%	 1.0%	 6.0%	0.606	 2.0	成渝特区,化学原料           
002846	英联股份	20250523	2	66.0%	18.0%	 7.0%	10.0%	0.473	-3.0	包装材料,复合集流体          
002229	鸿博股份	20250526	2	69.0%	 9.0%	 7.0%	15.0%	4.341	-1.0	昨日首板,数字水印,英伟达概念     
300858	科拓生物	20250527	1	70.0%	25.0%	 0.0%	 5.0%	0.467	 4.0	食品饮料,乳业             
300575	中旗股份	20250527	1	69.0%	22.0%	 5.0%	 5.0%	0.634	-1.0	农药兽药                
