
2025-05-20 09:48:24
热门板块信息(热榜350、飙升100、大涨超9%)：
类型	涨幅/股票数	板块(股票数)
热榜	1.03%/337	央国企改革(27),并购重组(26),西部大开发(15),一带一路(11),电商(11)
飙升	 1.66%/74	       央国企改革(6),电池(5),微盘股(5),深圳特区(5),有色金属(5)
大涨	11.24%/47	   并购重组(6),央国企改革(6),西部大开发(3),家用轻工(3),电网设备(3)

2025-05-20 09:48:24
资金流入板块信息：
板块(量比/涨幅)
水泥建材(7.6/0.4),仪器仪表(6.2/0.2),生物制品(6.0/2.6),食品饮料(5.5/1.4),航运港口(5.4/-2.2)

(今日与昨日量比)上证：-9% 深证：-5% 创业板：-5% 沪深300：-10% 中证1000：-14% 银行板块：3%：

2025-05-20 09:48:42
涨幅后出货少：
代码	名称	涨停时间	涨停次数	涨<1量	涨>3量	涨>2量	涨>1量	成交额	九转	标签
301559	中集环科	20250514	1	70.0%	21.0%	6.0%	 3.0%	0.714	-1.0	医疗器械概念,通用设备       
601083	锦江航运	20250514	2	69.0%	18.0%	2.0%	12.0%	2.698	-5.0	沪企改革估值龙头,沪企改革,航运港口
300240	飞力达：	20250514	1	68.0%	16.0%	7.0%	10.0%	1.792	-1.0	物流行业,统一大市场        
603839	安正时尚	20250515	2	63.0%	26.0%	2.0%	 9.0%	0.856	 1.0	4天2板,婴童概念,电商概念    

2025-05-20 09:48:45
飙升个股信息(今日热榜飙升前100+热榜350升1000/150升450/50升150)：
代码	名称	涨幅	换手	量比	九转	热榜	热榜较昨日变动	标签	股本	涨停历史
603363	傲农生物	2.48%	4.26	51.75	2.0	188	1032	猪肉概念,农牧饲渔	9/30	9/44%/0.9%

2025-05-20 09:49:54
热榜个股信息1(热榜350内+最近热榜飙升超1000+支撑线<15%)：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
603839	安正时尚	 3.26%	19	 -6%	229	-26	-108	1325	 1.0	T2	4天2板,婴童概念,电商概念      	0+0          	7/57%/-0.1%
002465	海格通信	 3.22%	10	  2%	 13	  8	1173	 552	 9.0	T1	昨日首板,飞行汽车(eVTOL),央国企	29/186       	        nan
002291	遥望科技	 3.08%	 9	 -1%	210	-18	 488	1506	 1.0	T1	小红书概念,NFT概念         	2/46         	 9/67%/2.9%
002389	航天彩虹	 2.77%	10	 -1%	  2	  2	 552	  55	 9.0	T1	昨日首板,超级电容,央国企改革     	197-71/15+111	 2/0%/-3.9%
000628	高新发展	  2.7%	10	  3%	 44	  5	1466	 629	 9.0	T1	昨日首板,工程建设,西部大开发     	3/74         	 8/50%/2.6%
603317	天味食品	 2.64%	10	  2%	 95	-10	1276	 840	 1.0	T1	昨日首板,食品饮料,调味品概念     	13+37        	3/100%/8.0%
000761	本钢板材	 2.33%	10	  7%	 50	 -2	3126	1909	 1.0	T1	昨日首板,并购重组概念,央国企改革   	0+40         	 8/50%/0.5%
000702	正虹科技	 1.92%	10	  8%	 79	 -5	2355	1163	 1.0	T1	昨日首板,猪肉概念,农牧饲渔      	0/15         	 9/89%/4.5%
603686	福龙马：	 1.44%	12	  9%	 60	-17	 541	 527	 7.0	T1	昨日首板,PPP模式,环保行业     	51-9/7+35    	 6/50%/2.1%
600336	澳柯玛：	 1.44%	11	  4%	 28	 11	1511	 746	 9.0	T1	昨日首板,新零售,电商概念       	3/36         	 9/67%/2.2%
600397	安源煤业	 1.33%	17	  6%	193	-37	 500	1636	-2.0	T1	互联金融人气龙头,智能电网,央国企改革 	1+34         	11/45%/0.2%
603378	亚士创能	 1.31%	10	  4%	 84	 16	3310	1824	 9.0	T1	昨日首板,建筑节能,雄安新区      	1/13         	 3/0%/-3.1%
002512	达华智能	 0.94%	15	 10%	 26	  6	 493	 735	 3.0	T1	昨日首板,人工智能,互联金融      	2+42         	12/67%/1.8%
002571	德力股份	 0.91%	11	-14%	114	-11	 959	-158	 9.0	T1	昨日首板,家用轻工,网络游戏      	1+12         	6/67%/-0.4%
000507	珠海港：	 0.81%	17	  5%	 22	  6	 372	 697	 0.0	T1	昨日首板,央国企改革,油气设服     	3+32         	 2/0%/-2.4%
603016	新宏泰：	 0.06%	13	  8%	 98	 12	2861	1256	 9.0	T1	昨日首板,电网设备           	0/23         	11/55%/1.5%
603135	中重科技	  0.0%	12	  9%	 83	 -8	2883	2416	 9.0	T1	昨日首板,新型工业化,专用设备     	25-7/1+17    	 1/0%/-3.0%
000612	焦作万方	-0.51%	16	  9%	 36	 -5	 493	 799	 0.0	T1	昨日首板,有色金属,稀土永磁      	3+62         	 2/50%/2.6%
000756	新华制药	-0.67%	19	  5%	116	-23	 134	2331	 4.0	T1	化学制药,流感             	1/38         	 2/50%/2.3%
000014	沙河股份	-0.67%	11	  7%	 89	  0	1977	1518	-1.0	T1	昨日首板,央国企改革,深圳特区     	0+18         	 2/50%/0.6%
603990	麦迪科技	-0.85%	14	  3%	148	 -5	 528	 981	-1.0	T1	辅助生殖人气龙头,并购重组概念,辅助生殖	48-11/0+37   	 9/67%/3.1%
000958	电投产融	-1.04%	19	  2%	 78	  0	 107	 259	-1.0	T1	大股东增持,并购重组概念,京津冀    	45+44        	14/86%/6.3%
002530	金财互联	-1.18%	10	  5%	 30	-13	 588	 -15	 9.0	T1	昨日首板,AI智能体,智慧政务     	90-23/3+64   	14/50%/1.2%
002915	中欣氟材	-1.26%	17	  1%	 99	-29	 -26	  28	 8.0	T1	化学制品人气龙头,氟化工,PEEK材料概	1/37         	12/67%/2.8%
002284	亚太股份	-1.28%	18	  5%	100	  7	 549	1264	-2.0	T1	胎压监测人气龙头,商业航天,无人驾驶  	3+46         	1/100%/2.3%
603286	日盈电子	-1.36%	 3	-10%	227	-34	 286	 662	-3.0	T1	传感器,无人驾驶            	4/23         	12/67%/1.2%
600644	乐山电力	 -1.9%	14	 -2%	153	  9	 -65	 -13	-5.0	T1	绿色电力,电力行业           	0+0          	10/90%/5.2%
002378	章源钨业	 -2.0%	19	 -4%	180	 -9	 -46	 163	-9.0	T1	稀缺资源人气龙头,稀缺资源,小金属   	2/36         	 3/33%/0.0%
000712	锦龙股份	-2.29%	13	 -5%	161	 23	  89	 212	-1.0	T1	券商概念,IPO受益          	3+52         	 8/62%/2.3%
603326	我乐家居	 -2.7%	13	  7%	111	-10	2109	 571	-1.0	T1	昨日首板,装修建材           	23-15/2+6    	 8/50%/0.9%
600082	海泰发展	-2.73%	16	 10%	 97	 -3	1913	 629	-1.0	T1	昨日首板,创投,房地产开发       	1/16         	4/25%/-3.2%
600410	华胜天成	-3.93%	10	 -3%	124	 -3	 -58	 -17	-3.0	T1	新型工业化人气龙头,无线耳机,时空大数据	105-0/3+102  	19/79%/4.2%
600699	均胜电子	-4.22%	18	  5%	128	 -9	 502	 985	-1.0	T1	英伟达概念人气龙头,激光雷达,人形机器人	19/144       	        nan
601018	宁波港：	-4.68%	12	  4%	 41	-12	 224	 563	-1.0	T1	昨日首板,IPO受益,航运港口     	66/75        	        nan
000088	盐田港：	-5.03%	18	  7%	 54	-18	 475	 995	-1.0	T1	昨日首板,粤港自贸,航运港口      	8/30         	        nan
601866	中远海发	-5.54%	18	 -6%	182	-13	 -94	 994	-5.0	T2	低价股成长龙头,海洋经济,航运港口   	8/95         	 2/50%/1.7%
605169	洪通燃气	 -6.5%	17	 -5%	176	  4	 -69	3662	-3.0	T2	4天2板,天然气,燃气         	1/8          	 2/50%/4.4%
601083	锦江航运	 -6.7%	17	 -9%	228	-10	-110	 408	-5.0	T2	沪企改革估值龙头,沪企改革,航运港口  	2+17         	 5/40%/0.8%

2025-05-20 09:49:57
上证神奇九转指数情况：
代码	名称	涨幅(周)	九转(周)	涨幅(日)	九转(日)	涨幅(30分)	九转(30分)	涨幅(15分)	九转(15分)
000001	上证指数	  0.56%	-4.0	  0.86%	 7.0	  0.03%	1.0	 -0.12%	 1.0
000001	上证指数	 -0.49%	-5.0	 -0.68%	 8.0	  0.01%	2.0	 -0.02%	-1.0
000001	上证指数	  1.92%	 1.0	 -0.40%	-1.0	  0.06%	3.0	  0.02%	 1.0
000001	上证指数	  0.76%	 2.0	  0.00%	-2.0	  0.00%	4.0	  0.28%	 2.0
000001	上证指数	  0.17%	 3.0	  0.16%	-3.0	  0.16%	5.0	 -0.11%	 3.0

2025-05-20 09:49:57
深证神奇九转指数情况：
代码	名称	涨幅(周)	九转(周)	涨幅(日)	九转(日)	涨幅(30分)	九转(30分)	涨幅(15分)	九转(15分)
399001	深证综指	  1.38%	-6.0	  0.64%	 8.0	  0.07%	1.0	 -0.10%	 1.0
399001	深证综指	 -0.17%	-7.0	 -1.62%	 9.0	  0.03%	2.0	 -0.01%	 2.0
399001	深证综指	  2.29%	 1.0	 -0.07%	-1.0	  0.13%	3.0	  0.05%	 3.0
399001	深证综指	  0.52%	 2.0	 -0.08%	-2.0	  0.04%	4.0	 -0.01%	-1.0
399001	深证综指	 -0.21%	 3.0	 -0.13%	-3.0	 -0.13%	5.0	 -0.12%	-2.0
