
2025-05-21 09:48:25
热门板块信息(热榜350、飙升100、大涨超9%)：
类型	涨幅/股票数	板块(股票数)
热榜	-0.11%/339	央国企改革(23),谷子经济(15),参股银行(14),固态电池(12),绿色电力(12)
飙升	  1.18%/78	       黄金(10),贵金属(7),机构推荐(6),央国企改革(6),人脑工程(4)
大涨	  10.9%/34	    央国企改革(4),西部大开发(3),房地产开发(3),固态电池(3),京津冀(3)

2025-05-21 09:48:25
资金流入板块信息：
板块(量比/涨幅)
水泥建材(7.7/0.2),医药商业(7.5/1.8),电池(6.8/1.3),珠宝首饰(6.6/0.4),贵金属(6.5/1.5)

(今日与昨日量比)上证：1% 深证：2% 创业板：0% 沪深300：2% 中证1000：9% 银行板块：-40%：

2025-05-21 09:48:42
涨幅后出货少：
代码	名称	涨停时间	涨停次数	涨<1量	涨>3量	涨>2量	涨>1量	成交额	九转	标签
300240	飞力达：	20250514	1	70.0%	14.0%	6.0%	10.0%	1.128	 3.0	创投,快递概念        
603839	安正时尚	20250515	2	67.0%	20.0%	1.0%	11.0%	0.615	-5.0	纺织服装,婴童概念      
600340	华夏幸福	20250516	2	55.0%	16.0%	1.0%	28.0%	3.587	-8.0	4天2板,PPP模式,低空经济
603980	吉华集团	20250516	2	54.0%	24.0%	8.0%	14.0%	1.939	 4.0	4天2板,化工原料,化学制品 

2025-05-21 09:48:46
飙升个股信息(今日热榜飙升前100+热榜350升1000/150升450/50升150)：
代码	名称	涨幅	换手	量比	九转	热榜	热榜较昨日变动	标签	股本	涨停历史
000905	厦门港务	 4.29%	15	 -1%	189	 -7	 579	 258	 1.0	T1	航运港口,央国企改革          	0+0          	 4/25%/-0.1%
002581	未名医药	  3.8%	19	 10%	 85	  5	1759	 960	 9.0	T1	昨日首板,生物制品,生物疫苗      	42-8/2+32    	  8/75%/3.3%
603693	江苏新能	 3.58%	11	  6%	 59	-20	1105	 210	 9.0	T1	昨日首板,电力行业,绿色电力      	7+16         	  6/67%/3.5%
000605	渤海股份	 3.37%	14	  3%	250	  2	3197	2214	 1.0	T1	公用事业人气龙头,公用事业,京津冀   	2/17         	 10/70%/5.9%
600807	济高发展	 3.34%	19	 10%	 45	 19	1995	2222	 1.0	T1	昨日首板,痘病毒防治,医疗器械     	5/19         	 10/60%/2.9%
600800	渤海化学	 3.18%	14	  2%	181	-24	 246	  43	 3.0	T1	滨海新区人气龙头,滨海新区,化工原料  	2+19         	 14/71%/3.7%
003030	祖名股份	 2.77%	18	 10%	 90	 -2	1174	1971	 1.0	T1	昨日首板,食品饮料,新零售       	0+0          	  9/44%/1.5%
000507	珠海港：	 2.68%	13	 -3%	254	-11	 501	 367	 1.0	T1	航运港口,天然气            	3+32         	  2/0%/-2.4%
002465	海格通信	 2.41%	11	  1%	126	  6	 729	1082	 1.0	T1	卫星互联网市值龙头,航母概念,央国企改革	29/186       	         nan
603980	吉华集团	 2.33%	14	 -6%	228	-22	-108	1706	 4.0	T2	4天2板,化工原料,化学制品      	32-9/2+21    	  4/50%/1.7%
600198	大唐电信	 1.41%	14	 10%	 10	  8	1475	1717	 9.0	T1	昨日首板,IPv6,央国企改革     	6/57         	 15/80%/6.0%
002640	跨境通：	 1.23%	16	 -8%	105	-14	 -54	 -64	-4.0	T1	进口博览人气龙头,电商概念,进口博览  	1+54         	 31/74%/4.2%
000520	凤凰航运	 0.98%	14	-10%	219	-48	  -7	  80	 1.0	T1	航运港口,一带一路           	0+0          	 15/67%/2.7%
002123	梦网科技	 0.44%	12	  6%	  5	  2	 351	 173	 3.0	T1	昨日首板,东北振兴,一带一路      	120-0/19+101 	 15/73%/4.7%
002291	遥望科技	  0.3%	13	  2%	203	 13	-170	1185	 1.0	T1	网络游戏,NFT概念          	2/46         	  9/67%/2.9%
