
2025-06-12 09:50:20
热门板块信息(热榜350、飙升100、大涨超9%)：
类型	涨幅/股票数	板块(股票数)
热榜	0.95%/338	谷子经济(24),数字货币(18),小金属(18),稀土永磁(16),新能源车(13)
飙升	 2.14%/76	  AI眼镜(17),采掘行业(10),油气设服(8),虚拟现实(7),石油行业(4)
大涨	10.74%/33	   谷子经济(4),新能源车(3),盲盒经济(3),汽车零部件(2),AI眼镜(2)

2025-06-12 09:50:20
资金流入板块信息：
板块(量比/涨幅)
采掘行业(5.9/1.9),家用轻工(5.1/1.3),石油行业(4.9/0.2),小金属(4.8/-0.6),游戏(4.4/0.9)

(今日与昨日量比)上证：-8% 深证：-4% 创业板：-3% 沪深300：0% 中证1000：-6% 银行板块：7%：

2025-06-12 09:50:33
涨幅后出货少：
代码	名称	涨停时间	涨停次数	涨<1量	涨>3量	涨>2量	涨>1量	成交额	九转	标签
603679	华体科技	20250605	2	66.0%	10.0%	7.0%	17.0%	0.784	-2.0	智慧灯杆,成渝特区

2025-06-12 09:50:35
飙升个股信息(今日热榜飙升前100+热榜350升1000/150升450/50升150)：
代码	名称	涨幅	换手	量比	九转	热榜	热榜较昨日变动	标签	股本	涨停历史
600644	乐山电力	 0.44%	  7	 -7%	121	-29	 129	  -9	-2.0	T1	天然气人气龙头,天然气,西部大开发   	0+0             	 13/85%/4.9%
603716	塞力医疗	 0.22%	 10	 -1%	147	 -6	 610	 167	-5.0	T1	鸿蒙概念,医药商业           	20-4/1+15       	 17/65%/3.2%
600601	方正科技	 -0.2%	 18	  4%	237	-46	  35	 584	-5.0	T1	CPO概念,电子元件          	19+127          	 12/50%/0.2%
002343	慈文传媒	-0.24%	  9	 -1%	222	-12	 986	 204	-1.0	T1	AI眼镜,文化传媒           	2+21            	  4/75%/4.8%
002426	胜利精密	-0.34%	 11	  7%	 13	  6	1002	 669	-1.0	T1	昨日首板,AI眼镜,智能穿戴      	123-17/16+90    	 13/77%/3.2%
002115	三维通信	-0.34%	 13	  1%	177	 -6	  12	 215	 5.0	T1	小红书概念,快手概念          	1+56            	 14/64%/3.2%
603011	合锻智能	-0.48%	 10	 -8%	108	 10	  -8	  12	 2.0	T1	光通信模块人气龙头,光通信模块,可控核聚	42-15/1+26      	 14/71%/2.9%
002996	顺博合金	-0.51%	 16	  7%	 33	  9	 829	 691	-1.0	T1	昨日首板,有色金属,西部大开发     	1+14            	  1/0%/-4.0%
000815	美利云：	-1.13%	 11	 -3%	198	 29	-192	 409	-1.0	T1	新能源,太阳能             	83-27/2+54      	 11/82%/2.7%
601059	信达证券	-1.21%	 15	  3%	101	-20	  22	1017	-2.0	T1	昨日触板业绩龙头,证券,化债(AMC)概	47+69           	 3/33%/-1.4%
000014	沙河股份	-1.22%	 10	  3%	 79	 -8	1413	 959	-1.0	T1	昨日首板,粤港自贸,房地产开发     	0+18            	  3/33%/0.3%
