
2025-06-10 09:50:21
热门板块信息(热榜350、飙升100、大涨超9%)：
类型	涨幅/股票数	板块(股票数)
热榜	0.83%/333	创新药(21),央国企改革(14),固态电池(12),创投(11),减肥药(11)
飙升	-0.08%/84	   固态电池(5),大股东增持(5),环保行业(4),节能环保(4),电池(4)
大涨	10.41%/40	      锂电池(4),固态电池(4),体育产业(4),电池(3),创新药(3)

2025-06-10 09:50:21
资金流入板块信息：
板块(量比/涨幅)
贸易行业(6.3/-0.2),医疗服务(5.9/1.2),通信服务(5.3/-0.8),化肥行业(4.9/0.5),电池(4.7/1.3)

(今日与昨日量比)上证：-3% 深证：-2% 创业板：1% 沪深300：-8% 中证1000：-9% 银行板块：26%：

2025-06-10 09:50:36
涨幅后出货少：
代码	名称	涨停时间	涨停次数	涨<1量	涨>3量	涨>2量	涨>1量	成交额	九转	标签
300016	北陆药业	20250603	1	70.0%	11.0%	12.0%	 7.0%	3.393	 1.0	精准医疗人气龙头,创新药,免疫治疗   
000989	九芝堂：	20250603	2	69.0%	13.0%	 4.0%	14.0%	 1.96	-1.0	毛发医疗人气龙头,独角兽,央国企改革  
300703	创源股份	20250603	1	64.0%	11.0%	 6.0%	20.0%	2.947	 2.0	宠物经济人气龙头,一带一路,AIGC概念
603823	百合花：	20250604	2	65.0%	26.0%	 2.0%	 7.0%	1.886	 4.0	今日首板,锂电池,化学制品       
600082	海泰发展	20250606	1	65.0%	 5.0%	 0.0%	30.0%	 1.75	-7.0	房地产开发人气龙头,京津冀,滨海新区  
603829	洛凯股份	20250606	2	57.0%	43.0%	 0.0%	 0.0%	 1.39	-1.0	3天2板,电网设备,智能电网      
002391	长青股份	20250606	2	55.0%	34.0%	 5.0%	 7.0%	2.725	-1.0	3天2板,节能环保,长江三角      
002629	仁智股份	20250606	2	47.0%	28.0%	14.0%	11.0%	1.809	 9.0	3天2板,采掘行业,天然气       
003040	楚天龙：	20250606	2	41.0%	24.0%	35.0%	 0.0%	8.729	 9.0	3天2板,ETC,数字货币       
300584	海辰药业	20250606	2	36.0%	53.0%	 6.0%	 5.0%	8.666	-1.0	3天2板,化学制药,幽门螺杆菌概念   
603032	德新科技	20250606	2	26.0%	64.0%	 5.0%	 6.0%	4.451	 8.0	3天2板,电池,刀片电池        

2025-06-10 09:50:39
飙升个股信息(今日热榜飙升前100+热榜350升1000/150升450/50升150)：
代码	名称	涨幅	换手	量比	九转	热榜	热榜较昨日变动	标签	股本	涨停历史
301357	北方长龙	6.51%	19.61	15.19	0.0	226	1547	新材料,西部大开发	0+8	5/60%/2.8%

2025-06-10 09:51:45
热榜个股信息1(热榜350内+最近热榜飙升超1000+支撑线<15%)：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
002471	中超控股	 1.92%	 9%	 -6%	  7	 -4	  26	   3	 8.0	T1	昨日首板,电网设备,石墨烯      	0+0            	 15/67%/3.8%
603011	合锻智能	  3.1%	13%	-17%	 23	 -7	  59	 -16	 9.0	T1	昨日首板,可控核聚变,特斯拉     	42-15/1+26     	 14/71%/2.9%
002105	信隆健康	  1.6%	 4%	 -6%	 34	 14	 173	  33	 1.0	T1	昨日首板,体育产业,养老概念     	1+9            	 13/77%/6.1%
002437	誉衡药业	 3.95%	 5%	-10%	 36	 15	 550	-106	 1.0	T1	昨日首板,肝炎概念,化学制药     	10/46          	 4/25%/-1.0%
002878	元隆雅图	 0.94%	13%	 -9%	 40	 -2	  37	 -35	 9.0	T2	8天4板,婴童概念,盲盒经济     	1+-1           	 13/62%/1.4%
002651	利君股份	-4.11%	-1%	-20%	 44	-10	 136	  51	-1.0	T1	昨日首板,商业航天,大飞机      	0+0            	 13/77%/5.7%
600418	江淮汽车	  3.4%	 1%	-14%	 52	-32	 151	 -20	 1.0	T1	昨日首板,地摊经济,汽车整车     	738-208/129+401	  4/50%/1.7%
301137	哈焊华通	 7.61%	 0%	-19%	 54	 -8	 484	 -96	 1.0	T1	昨日首板,央国企改革,一带一路    	0+11           	5/100%/10.5%
601956	东贝集团	 0.68%	-2%	-15%	 56	  7	 496	 136	 9.0	T1	昨日首板,跨境电商,职业教育     	36-17/1+18     	  9/56%/2.8%
002846	英联股份	 -3.5%	 9%	 -7%	 59	  2	 463	 409	-1.0	T1	昨日首板,复合集流体,包装材料    	2+15           	 9/33%/-1.4%
600530	交大昂立	 3.94%	 3%	 -8%	 69	  1	 274	  80	 9.0	T2	昨日首板,养老概念,电商概念     	4/17           	 16/75%/3.2%
300995	奇德新材	-0.64%	 3%	 -7%	 95	  2	3143	1717	 1.0	T1	昨日首板,婴童概念,一带一路     	3+11           	  4/75%/6.0%
002427	尤夫股份	 0.58%	13%	 -7%	116	-17	  -7	 -32	 7.0	T1	化纤行业人气龙头,化纤行业,央国企改革	0+0            	 26/58%/2.6%
000989	九芝堂：	-2.25%	15%	 -6%	147	 -4	  56	 210	-1.0	T2	毛发医疗人气龙头,独角兽,央国企改革 	4+38           	  6/67%/1.9%
601086	国芳集团	-1.81%	 8%	-13%	171	-47	 -21	 -93	-1.0	T1	参股券商人气龙头,西部大开发,商业百货	0+8            	 27/59%/2.8%
000695	滨海能源	-1.98%	17%	 -7%	183	 23	 -77	 -15	 5.0	T2	16天8板,造纸印刷,滨海新区    	26-8/0+18      	 18/56%/2.1%
300016	北陆药业	 2.91%	18%	 -7%	206	 48	 316	 -36	 1.0	T1	精准医疗人气龙头,创新药,免疫治疗  	2/29           	  1/0%/-3.1%
