
2025-04-22 22:22:12
涨停股统计信息：
建议仓位	涨停数(今/昨)	封板率(今/昨)	涨幅(今/昨)	跌停数(今/昨)
87	93/114	74.4%/78.62%	2.05%/2.41%	24/23

2025-04-22 22:22:12
强势板块信息：
板一/天/板数	板二/天/板数	板三/天/板数	板四/天/板数	板五/天/板数
央国企改革/26/13天8板	一带一路/14/13天8板	长江三角/14/14天7板	西部大开发/12/13天12板	电商概念/11/9天5板

2025-04-22 22:22:14
龙头股信息：
代码	名称	板块	板数	标签	警告
001212	中旗新材	粤港自贸	 15天9板	15天9板,粤港自贸,新材料  	8/5/20250418
600562	 国睿科技	  2.5%	  | 0%	100% |	  0%	 34%	 99% |	 133%	昨日首板,长江三角,PPP模式     
002172	 澳洋健康	 2.77%	  | 0%	100% |	 51%	 69%	 79% |	 199%	昨日首板,冷链物流,中药概念      
000639	 西王食品	 2.79%	  | 0%	100% |	166%	  0%	161% |	 327%	昨日首板,长寿药,新零售        
002345	 潮宏基：	 2.82%	  | 0%	100% |	 43%	  0%	136% |	 179%	昨日首板,珠宝首饰,黄金概念      
002365	 永安药业	 3.13%	  | 0%	100% |	 14%	  0%	102% |	 115%	昨日首板,化学制药,一带一路      
002131	 利欧股份	 3.41%	  | 0%	100% |	 46%	  0%	202% |	 248%	昨日首板,海绵城市,IGBT概念    
600391	 航发科技	 3.49%	  | 0%	100% |	 37%	  5%	211% |	 253%	4天2板,央国企改革,成渝特区     
600510	 黑牡丹：	  3.5%	  | 0%	100% |	 32%	 19%	 74% |	 125%	房地产开发,参股保险          
003006	 百亚股份	 3.51%	  | 0%	100% |	  7%	 17%	 65% |	  89%	昨日首板,电商概念,婴童概念      
600187	 国中水务	 4.44%	  | 6%	 94% |	  8%	 42%	 44% |	  94%	创投人气龙头,创投,公用事业      
603918	 金桥信息	 4.94%	  | 0%	100% |	  0%	113%	 94% |	 207%	昨日首板,蚂蚁概念,化债(AMC)概念 

2025-04-22 22:23:02
热门板块信息(人气350、飙升100、大涨超9%)：
类型	涨幅/股票数	板块(股票数)
人气	3.17%/341	跨境支付(26),数字货币(23),央国企改革(20),新零售(16),物流行业(16)
飙升	 5.46%/78	    农药兽药(10),央国企改革(7),化学制品(5),微盘股(5),合成生物(5)
大涨	11.05%/88	    跨境支付(9),数字货币(8),物流行业(7),统一大市场(6),商业百货(5)

(今日与昨日量比)上证：4% 深证：5% 创业板：3% 沪深300：-3% 中证1000：9% 银行板块：-18%：

2025-04-22 22:23:16
涨幅后出货少：
代码	名称	涨停时间	涨停次数	涨<1量	涨>3量	涨>2量	涨>1量	成交额	九转	标签
000639	西王食品	20250415	2	69.0	14.0	11.0	 6.0	 0.42	 2.0	昨日首板,长寿药,新零售    
301558	三态股份	20250415	1	66.0	24.0	 4.0	 6.0	0.973	-4.0	跨境电商,贸易行业       
600735	新华锦：	20250415	1	65.0	25.0	 3.0	 7.0	0.226	 0.0	贬值受益,一带一路       
300605	恒锋信息	20250416	2	68.0	20.0	 3.0	 9.0	0.924	-6.0	昨日首板,远程办公,东数西算  
