
2025-04-19 19:00:16
业绩预测：
代码	名称	类型	公告时间	涨幅	Q3_R	Q3_RR	Q3_P	Q3_PR	Y_R	Y_RR	Y_P	Y_PR	Q1_R	Q1_RR	Q1_P	Q1_PR	公告内容
600770	 综艺股份	报表披露	2025-04-19	 0.76%	 0.0	 0.0%	  0.0	   0.0% | 	  0.0	 0.0%	  3.0	  117.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润3022万元，同比增长117.39%，基本每股收益0.0232元                                                                                                                                                            
600865	 百大集团	报表披露	2025-04-19	 9.97%	 0.0	 0.0%	  0.0	   0.0% | 	  0.0	 0.0%	  1.0	  878.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润1.328亿元，同比增长878.21%，基本每股收益0.35元                                                                                                                                                             
601702	 华峰铝业	报表披露	2025-04-19	 0.84%	 0.0	 0.0%	  9.0	  31.0% | 	  0.0	 0.0%	 12.0	   35.0% | 	0.0	0.0%	 0.0	   0.0%	2025年一季报归属净利润2.663亿元，同比增长5.00%，基本每股收益0.27元                                                                                                                                                              
601702	 华峰铝业	报表披露	2025-04-19	 0.84%	 0.0	 0.0%	  9.0	  31.0% | 	  0.0	 0.0%	 12.0	   35.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润12.18亿元，同比增长35.44%，基本每股收益1.22元                                                                                                                                                              
601777	 千里科技	报表披露	2025-04-19	 5.28%	 0.0	 0.0%	  0.0	 -35.0% | 	  0.0	 0.0%	  0.0	   65.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润4002万元，同比增长65.28%，基本每股收益0.01元                                                                                                                                                               
601798	 蓝科高新	报表披露	2025-04-19	 9.98%	 0.0	 0.0%	  0.0	   0.0% | 	  0.0	 0.0%	 -9.0	   37.0% | 	0.0	0.0%	 0.0	   0.0%	2025年一季报归属净利润648.4万元，同比增长194.53%，基本每股收益0.018元                                                                                                                                                           
601798	 蓝科高新	报表披露	2025-04-19	 9.98%	 0.0	 0.0%	  0.0	   0.0% | 	  0.0	 0.0%	 -9.0	   37.0% | 	0.0	0.0%	 0.0	   0.0%	2025年一季报归属净利润648.4万元，同比增长194.53%，基本每股收益0.018元                                                                                                                                                           
601798	 蓝科高新	报表披露	2025-04-19	 9.98%	 0.0	 0.0%	  0.0	   0.0% | 	  0.0	 0.0%	 -9.0	   37.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润-8840万元，同比增长36.68%，基本每股收益-0.25元                                                                                                                                                             
601798	 蓝科高新	报表披露	2025-04-19	 9.98%	 0.0	 0.0%	  0.0	   0.0% | 	  0.0	 0.0%	 -9.0	   37.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润-8840万元，同比增长36.68%，基本每股收益-0.25元                                                                                                                                                             
603005	 晶方科技	报表披露	2025-04-19	 0.53%	 0.0	 0.0%	  0.0	   0.0% | 	  0.0	 0.0%	 25.0	   68.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润2.528亿元，同比增长68.40%，基本每股收益0.39元                                                                                                                                                              
603042	 华脉科技	报表披露	2025-04-19	10.04%	 0.0	 0.0%	  0.0	   0.0% | 	  0.0	 0.0%	  1.0	  117.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润1457万元，同比增长117.30%，基本每股收益0.0907元                                                                                                                                                            
603132	 金徽股份	报表披露	2025-04-19	 0.45%	 0.0	 0.0%	 35.0	  43.0% | 	  0.0	 0.0%	 48.0	   39.0% | 	0.0	0.0%	 9.0	  18.0%	2025年一季报归属净利润9383万元，同比增长18.45%，基本每股收益0.1元                                                                                                                                                               
603533	 掌阅科技	报表披露	2025-04-19	 3.98%	 0.0	 0.0%	  0.0	   0.0% | 	  0.0	 0.0%	  5.0	   41.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润4929万元，同比增长41.46%，基本每股收益0.11元                                                                                                                                                               
603568	 伟明环保	报表披露	2025-04-19	 1.77%	 0.0	 0.0%	 21.0	  34.0% | 	  0.0	 0.0%	 27.0	   32.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润27.04亿元，同比增长31.99%，基本每股收益1.6元                                                                                                                                                               
603595	 东尼电子	报表披露	2025-04-19	-0.35%	 0.0	 0.0%	 -4.0	  85.0% | 	  0.0	 0.0%	  1.0	  102.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润1152万元，同比增长101.90%，基本每股收益0.05元                                                                                                                                                              
603669	 灵康药业	报表披露	2025-04-19	  0.5%	 0.0	 0.0%	  0.0	   0.0% | 	  4.0	93.0%	-13.0	   14.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润-1.308亿元，同比增长13.68%，基本每股收益-0.18元                                                                                                                                                            
603729	 龙韵股份	报表披露	2025-04-19	 1.17%	 0.0	 0.0%	  0.0	 -46.0% | 	  0.0	 0.0%	  1.0	  116.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润833.4万元，同比增长115.90%，基本每股收益0.09元                                                                                                                                                             
605305	 中际联合	报表披露	2025-04-19	-0.44%	 0.0	 0.0%	  0.0	   0.0% | 	  0.0	 0.0%	  3.0	   52.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润3.148亿元，同比增长52.20%，基本每股收益1.48元                                                                                                                                                              
605376	 博迁新材	报表披露	2025-04-19	-0.39%	 0.0	 0.0%	  1.0	 562.0% | 	  0.0	 0.0%	  1.0	  371.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润8748万元，同比增长370.73%，基本每股收益0.33元                                                                                                                                                              
000766	 通化金马	报表披露	2025-04-21	 1.45%	 0.0	 0.0%	  0.0	  54.0% | 	 28.0	 0.0%	  1.0	   28.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2025年一季报                                                                                                                                                                                   
002629	 仁智股份	报表披露	2025-04-21	10.08%	 0.0	 0.0%	 -1.0	  43.0% | 	  0.0	 0.0%	  1.0	    0.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2024年年报                                                                                                                                                                                    
002734	 利民股份	报表披露	2025-04-21	  2.5%	 0.0	 0.0%	  5.0	 133.0% | 	 42.0	 0.0%	  8.0	   31.0% | 	0.0	0.0%	 1.0	1278.0%	于2025-04-21披露2025年一季报                                                                                                                                                                                   
003008	 开普检测	报表披露	2025-04-21	 1.26%	 0.0	 0.0%	  6.0	  20.0% | 	  2.0	 0.0%	  9.0	   46.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2025年一季报                                                                                                                                                                                   
300158	 振东制药	报表披露	2025-04-21	  0.0%	 0.0	 0.0%	  4.0	4689.0% | 	  0.0	 0.0%	-12.0	    0.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2025年一季报                                                                                                                                                                                   
300158	 振东制药	报表披露	2025-04-21	  0.0%	 0.0	 0.0%	  4.0	4689.0% | 	  0.0	 0.0%	-12.0	    0.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2024年年报                                                                                                                                                                                    
300308	 中际旭创	报表披露	2025-04-21	 1.97%	 0.0	 0.0%	 38.0	 189.0% | 	239.0	 0.0%	 52.0	  112.0% | 	0.0	0.0%	15.0	  68.0%	于2025-04-21披露2025年一季报                                                                                                                                                                                   
300308	 中际旭创	报表披露	2025-04-21	 1.97%	 0.0	 0.0%	 38.0	 189.0% | 	239.0	 0.0%	 52.0	  112.0% | 	0.0	0.0%	15.0	  68.0%	于2025-04-21披露2024年年报                                                                                                                                                                                    
300394	 天孚通信	报表披露	2025-04-21	 1.04%	 0.0	 0.0%	 10.0	 122.0% | 	  0.0	 0.0%	 13.0	   81.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2024年年报                                                                                                                                                                                    
