2025-04-24 23:33:04
2025-04-25 00:00:00 4月25日盘前必读 2.36% 七部门印发《医药工业数智化转型实施方案（2025-2030年）》提出，深化人工智能赋能应用。支持相关单位建立医药大模型创新平台，协同开展医药大模型技术产品研发、监管科学研究等，强化标准规范、科技伦理、应用安全和风险管理等规则建设。开展“人工智能赋能医药全产业链”应用试点，鼓励龙头医药企业与医疗机构、科研院所、上下游企业、大用户等组成联合体，面向医药全产业链形成一批效果显著的标志性应用场景。鼓励各地建设医药人工智能领域概念验证、中试验证、共性技术、知识产权运营、开源社区等公共服务平台（新闻来源：央视新闻）
           题材       分类  子类    代码     名称     涨幅                  理由               
    71   跨境贸易三大支柱  跨境电商        亚马逊  301381   赛维时代   -3.59%   营收规模A股第三，47.54亿，主服装/家居/户外     
    72   跨境贸易三大支柱  跨境电商        亚马逊  601113   华鼎股份   -0.25%   营收规模A股第四，34.24亿               
    73   跨境贸易三大支柱  跨境电商        亚马逊  002615   哈尔斯：   -0.14%   营收规模A股第五，20.37亿               
    74   跨境贸易三大支柱  跨境电商        亚马逊  301558   三态股份   -5.57%   营收规模A股六，15.87亿                
    75   跨境贸易三大支柱  跨境电商        亚马逊  300464   星徽股份   -5.16%   营收规模A股第七，12.23亿，主消费电子         
    76   跨境贸易三大支柱  跨境电商        亚马逊  001238   浙江正特    1.63%   营收规模A股第八，2.4亿，主遮阳制品           
    77   跨境贸易三大支柱  跨境电商        亚马逊  605155   西大门：   -0.42%   公司2023年亚马逊等海外线上平台销售收入实现爆发式增长  
    78   跨境贸易三大支柱  跨境电商        亚马逊  003003   天元股份    9.99%   通过阿里巴巴国际站、亚马逊等主流跨境电商平台店铺参与跨境电商
    79   跨境贸易三大支柱  跨境电商       海外营销  301171   易点天下    5.96%   海外营销服务占比85%，19.56亿            
    80   跨境贸易三大支柱  跨境电商       海外营销  300058   蓝色光标   -2.67%   海外营销服务占比72%，26.36亿            
    81   跨境贸易三大支柱  跨境电商       海外营销  002103   广博股份   -0.11%   海外营销服务占比35%，3.99亿             
    82   跨境贸易三大支柱  跨境电商       海外营销  000676   智度股份   -2.17%   海外营销服务占比33%，9.87亿             
    83   跨境贸易三大支柱  跨境电商       海外营销  002400   省广集团   -1.67%   海外营销服务占比20.8%，30.36亿          
    84   跨境贸易三大支柱  跨境电商       海外营销  300209  *ST有树   -4.17%   子公司有棵树以B2C模式海外营销              
    85   跨境贸易三大支柱  跨境电商        海外仓  300729   乐歌股份   -3.08%   海外仓业务营收占比第一，24.38%；海外仓已建设面积28万
    86   跨境贸易三大支柱  跨境电商        海外仓  600415   小商品城    1.81%   海外仓面积A股第一，海外仓已建设面积130万㎡       
    87   跨境贸易三大支柱  跨境电商        海外仓  603535   嘉诚国际   -9.99%   海外仓面积A股第二，海外仓已建设面积100万㎡       
    88   跨境贸易三大支柱  跨境电商        海外仓  301376   致欧科技    1.35%   海外仓已建设面积27万㎡                  
    89   跨境贸易三大支柱  跨境电商        海外仓  002315   焦点科技   -2.19%   海外仓已建设面积2万㎡                   
    90   跨境贸易三大支柱  跨境电商        境内仓  002930   宏川智慧   -1.72%   化工仓储服务营收A股第一，为12.07亿。公司具有公共保税仓
    91   跨境贸易三大支柱  跨境电商        境内仓  600794   保税科技     3.0%   化工仓储服务营收A股第二，为4.26亿；控股子公司从事保税仓
    92   跨境贸易三大支柱  跨境电商        境内仓  002492   恒基达鑫    6.26%   化工仓储服务营收A股第三，为1.97亿；公司向深圳海关申请设
    93   跨境贸易三大支柱  跨境电商        境内仓  002889   东方嘉盛   -3.34%   电子产品仓储，供应链服务营收28.27亿（含电子产品）；公司
    94   跨境贸易三大支柱  跨境电商        境内仓  603836   海程邦达   -2.88%   电子产品仓储，公司已在南京、西安、合肥等地设有保税仓库，服务
    95   跨境贸易三大支柱  跨境电商       自建平台  002640   跨境通：   -7.01%   营收规模A股第一，67.06亿，平台ZAFUL       
    96   跨境贸易三大支柱  跨境电商       自建平台  002803   吉宏股份   -0.72%   营收规模A股第二，53.76亿，主东南亚          
    97   跨境贸易三大支柱  跨境电商       自建平台  600415   小商品城    1.81%   营收规模A股第三，49.49亿，Chinagoods B2B
    98   跨境贸易三大支柱  跨境电商       自建平台  300592   华凯易佰   -5.45%   营收规模A股第四，43.8亿，平台亿迈           
    99   跨境贸易三大支柱  跨境电商       自建平台  002315   焦点科技   -2.19%   营收规模A股第五，12.38亿，中国制造网（MIC）    
    100  跨境贸易三大支柱  跨境电商       自建平台  600336   澳柯玛：   -6.01%   公司搭建全产业海外营销平台                 
2025-04-24 15:57:47 4月24日热门题材复盘 11.06% 【市场复盘-热门题材】4月24日热门题材涨停个股复盘
            题材        分类   子类     代码     名称     涨幅                  理由              
    0   4月24日热门题材复盘  内需消费  5连板  002251  步步高：  10.03%  涨停时间14:17；ST摘帽+零售             
    1   4月24日热门题材复盘  内需消费   首板  002582  好想你：   9.99%  涨停时间9:30；零食+一季度业绩增长           
    2   4月24日热门题材复盘  内需消费   首板  600828  茂业商业  10.03%  涨停时间9:30；零售                   
    3   4月24日热门题材复盘  内需消费   首板  603226  菲林格尔   10.0%  涨停时间9:39；地板                   
    4   4月24日热门题材复盘  内需消费   首板  002891  中宠股份   10.0%  涨停时间10:05；宠物经济                
    5   4月24日热门题材复盘  内需消费   首板  600679  上海凤凰  10.01%  涨停时间10:13；自行车                 
    6   4月24日热门题材复盘  内需消费   首板  300994  久祺股份  20.03%  涨停时间10:27；自行车+外销高占比           
    7   4月24日热门题材复盘  内需消费   首板  301335  天元宠物  19.98%  涨停时间10:30；宠物经济                
    8   4月24日热门题材复盘  内需消费   首板  001206  依依股份   9.98%  涨停时间10:45；宠物经济+出口占比高          
